age,sleep_hours,work_hours,exercise_days,learning_hours,stress_level,current_income,monthly_expenses,savings_rate,savings_amount,burnout_risk,future_income
27,9.0,10.183056684079519,3,0.0,4.2141273779862765,49364.31934973263,16760.08948992018,66.0481706003489,32604.229859812447,0,111587.6902881899
24,5.392895545399979,7.264726781211507,1,4.385799588624346,7.5614880963731625,18622.333532489418,18860.97753752442,-1.281493560507082,-238.64400503500292,1,20000.0
33,7.888582269040288,12.875299749100039,4,3.931519456074147,6.861644180845294,12877.331162047602,40283.98064956525,-212.8286454905441,-27406.64948751765,1,20000.0
31,4.0,4.711053862326071,3,5.301821927250139,7.500368220717261,57738.915386048335,15485.636739132178,73.17989672027329,42253.27864691616,1,116759.68893399318
28,4.421623345081057,7.372599649884198,3,5.089215448868579,9.45132783352894,10310.52545444755,34161.25817667372,-231.32412433876408,-23850.73272222617,2,20000.0
33,5.259359922312429,8.333932793014453,2,7.514159536962141,7.217465636645902,37777.09687926227,39090.25798071186,-3.476077332375548,-1313.1611014495866,1,20000.0
25,5.322471634725064,8.098501672894272,4,10.188620369548222,7.501070259886433,34484.465106733194,30742.36376979884,10.851556854230273,3742.1013369343527,1,40813.52827458242
27,6.70370179813885,6.035715340370334,3,7.275078026301269,5.523092323115034,33097.73557485387,7661.232124428883,76.85270006734378,25436.503450424985,0,139784.35839193148
30,6.789842264168468,9.395723495503587,1,4.093784821249824,4.767233848007921,44716.76233435985,17752.169689409486,60.30086087925708,26964.592644950368,0,99000.58315062069
23,6.245178731627635,9.242188102627845,2,4.01321850058022,6.5427209171504135,29836.113553323226,57563.437330347966,-92.93208958824464,-27727.32377702474,1,20000.0
27,6.350122033237538,8.595922891963093,4,6.73732608471143,4.660858848463247,45936.03193697572,19113.716169621122,58.39058063211651,26822.315767354597,0,108709.34403079264
31,7.027764760931661,9.163687726517031,0,1.6333106108543354,8.001971960884779,42117.33122036792,60835.952506917136,-44.44398717622662,-18718.621286549213,1,20000.0
31,7.333223877620742,7.652447177103938,5,4.369594147673042,4.330825626863216,71480.98531075637,45507.56862435872,36.336120121289376,25973.41668639765,0,67185.84167957885
28,5.173460983890241,5.265274099782864,3,4.523694129912284,6.317103765986074,19218.85912272806,31228.834472466646,-62.49057383190707,-12009.975349738586,1,20000.0
25,6.138109028766996,7.066720259895511,3,6.168262969637623,5.589658833666344,40439.0347585724,28566.811269970196,29.35832558685267,11872.223488602205,0,71628.59154579435
24,6.43041017708699,8.814109162818882,1,6.227732692281561,7.271887845242297,46470.17649816645,19422.119738474783,58.20519481082429,27048.05675969167,1,95345.16488816914
28,6.985315996560454,8.825488829692793,1,3.5108789192139414,6.89884766667487,36153.96166701556,23933.048909158453,33.80241664914593,12220.912757857106,1,40630.35884592849
